Name,Review Count,Price,Phone Number,Address
Riad Les Trois Mages,860 reviews,7894,00 212 5243-89297,"11 Riad Larousse, Derb Jamaâ, Marrakech Morocco"
Riad Karmela,"1,850 reviews",3614,00 212 5243-87937,"10 Derb El Feranne Azbetz Place Ben Salah, Marrakech 40008 Morocco"
Les Jardins de la Koutoubia,"2,224 reviews",1487,00 212 678-700124,"26 rue de la Koutoubia, Marrakech 40000 Morocco"
Kenzi Menara Palace,"3,229 reviews",2543,00 212 5244-59900,"Avenue Mohammed VI Zone de Agdal, Marrakech 40020 Morocco"
Les Borjs de la Kasbah,943 reviews,1457,00 212 5243-81101,"200 Rue du Mechouar Kasbah, Marrakech 40000 Morocco"
Be Live Experience Marrakech Palmeraie,"1,306 reviews",3250,00 212 678-798721,"Lot B6, Zone de Zahrat Annakhil, Marrakech 40070 Morocco"
Villa Makassar,995 reviews,4100,00 212 5243-91926,"20 Derb Chtouka Kasbah, Marrakech 40000 Morocco"
Hotel Du Golf Rotana,"1,477 reviews",2300,00 212 678-789632,"Circuit de la Palmeraie, BP 1488, Marrakech 40000 Morocco"
Savoy Le Grand Hotel,"2,856 reviews",2130,00 212 678-730032,"Avenue Prince My Rachid, Marrakech 40000 Morocco"
Sirayane Boutique Hotel & Spa,"2,174 reviews",3210,00 212 678-327891,"Km 8 Route D'Amezmiz, Marrakech 40000 Morocco"
Riad Dar Karma,221 reviews,1478,00 212 5243-85878,"51, Derb El Mennabha, Marrakech 40000 Morocco"
Hotel Sofitel Marrakech Palais Imperial,"3,026 reviews",2583,00 212 678-501247,"Rue Harroun Errachid Hivernage, Marrakech 40000 Morocco"
Riad Les Trois Palmiers El Bacha,"1,121 reviews",3598,00 212 673-124587,"35 - 36 Derb Tizougarine Dar El Bacha Medina, Marrakech 44030 Morocco"
Es Saadi Marrakech Resort Hotel,"1,803 reviews",1240,00 212 601-734373,"Rue Ibrahim El Mazini, Marrakech 40000 Morocco"
"Radisson Blu Hotel, Marrakech Carre Eden","1,333 reviews",2560,00 212 525-077000,"166-176 Avenue Mohamed, Marrakech 40000 Morocco"
Palais Namaskar,779 reviews,4780,00 212 678-784512,"Route de Bab Atlas, No 88/69 Province Syba, Marrakech 40000 Morocco"
Riad Houdou,"1,510 reviews",1450,00 212 608-864072,"54 Derb el Hammam, el Moukef Essebtyine, Moukef, Marrakech 40000 Morocco"
La Maison Arabe,"3,253 reviews",1456,00 212 5243-87010,"1 Derb Assehbe Bab Doukkala, Marrakech 40000 Morocco"
Sol Oasis Marrakech,"1,061 reviews",1800,00 1 888-575-2385,"Douar Ben Rahmoun Prefecture Sidi Youssef Ben Ali, Marrakech 40000 Morocco"
Movenpick Hotel Mansour Eddahbi Marrakech,"3,337 reviews",4500,00 212 5243-87985,"Avenue Mohammed VI Hivernage, Marrakech 40020 Morocco"
Riad Dar Anika,"2,018 reviews",5000,00 212 5243-91751,"112 Rue Riad Zitoun el Kdim, Marrakech Morocco"
Riad Les Trois Mages,860 reviews,6230,00 212 5243-89297,"11 Riad Larousse, Derb Jama�, Marrakech Morocco"
Andalla Riad & Spa,869 reviews,7800,00 212 5243-89162,"2 Derb El Boumba rue Arset Laghzail, Marrakech 40000 Morocco"
Be Live Collection Marrakech Adults Only,"3,204 reviews",2580,00 212 5243-00123,"Lot B6, Zone de Zahrat Annakhil, Marrakech Morocco"
Riad Melhoun & Spa,809 reviews,1478,00 212 678-734373,"99 Derb Sidi moussa Quartier La Bahia, Marrakech 40070 Morocco"
La Mamounia Marrakech,"3,346 reviews",1236,00 212 5243-22562,"Avenue Bab Jdid, Marrakech 40040 Morocco"
Sofitel Marrakech Lounge & Spa Hotel,"4,921 reviews",8000,00 212 5243-87458,"Rue Harroun Errachid Quartier de l'Hivernage, Marrakech 40000 Morocco"
Fairmont Royal Palm Marrakech,"1,260 reviews",7500,00 212 5244-87878,"Km 12 Route d'Amizmiz, Marrakech 2470 Morocco"
"The Oberoi, Marrakech",393 reviews,2369,00 212 525-081515,"Boite Postale 22788 Route De Ouarzazate, Marrakech 40000 Morocco"
"Riad Camilia, the Riad and More",601 reviews,4596,00 212 5243-86987,"Derb El Ouali 9, Kaat Benahid Medina, Marrakech 40000 Morocco"
TUI BLUE Medina Gardens,985 reviews,1235,00 212 5243-87320,"Arset Djnan La Khdar, Marrakech 40000 Morocco"
Riad Les Trois Mages,860 reviews,1245,00 212 5243-89297,"11 Riad Larousse, Derb Jamaâ, Marrakech Morocco"
Riad Karmela,"1,850 reviews",3000,00 212 5243-87937,"10 Derb El Feranne Azbetz Place Ben Salah, Marrakech 40008 Morocco"
Les Jardins de la Koutoubia,"2,224 reviews",3600,00 212 5243-84589,"26 rue de la Koutoubia, Marrakech 40000 Morocco"
Kenzi Menara Palace,"3,229 reviews",1470,00 212 5244-59900,"Avenue Mohammed VI Zone de l’Agdal, Marrakech 40020 Morocco"
Les Borjs de la Kasbah,943 reviews,5822,00 212 5243-81101,"200 Rue du Mechouar Kasbah, Marrakech 40000 Morocco"
Be Live Experience Marrakech Palmeraie,"1,306 reviews",1459,00 212 5243-87326,"Lot B6, Zone de Zahrat Annakhil, Marrakech 40070 Morocco"
Villa Makassar,995 reviews,2369,00 212 5243-91926,"20 Derb Chtouka Kasbah, Marrakech 40000 Morocco"
Hotel Du Golf Rotana,"1,477 reviews",4852,00 212 5243-25242,"Circuit de la Palmeraie, BP 1488, Marrakech 40000 Morocco"
Savoy Le Grand Hotel,"2,856 reviews",3698,00 212 5245-56487,"Avenue Prince My Rachid, Marrakech 40000 Morocco"
Sirayane Boutique Hotel & Spa,"2,174 reviews",1258,00 212 5243-81047,"Km 8 Route D'Amezmiz, Marrakech 40000 Morocco"
Riad Dar Karma,221 reviews,4578,00 212 5243-85878,"51, Derb El Mennabha, Marrakech 40000 Morocco"
Hotel Sofitel Marrakech Palais Imperial,"3,026 reviews",3265,00 212 5243-87478,"Rue Harroun Errachid Hivernage, Marrakech 40000 Morocco"
Riad Les Trois Palmiers El Bacha,"1,121 reviews",1238,00 212 5243-88795,"35 - 36 Derb Tizougarine Dar El Bacha Medina, Marrakech 44030 Morocco"
Es Saadi Marrakech Resort Hotel,"1,803 reviews",1247,00 212 5243-87369,"Rue Ibrahim El Mazini, Marrakech 40000 Morocco"
"Radisson Blu Hotel, Marrakech Carre Eden","1,333 reviews",1555,00 212 525-077000,"166-176 Avenue Mohamed, Marrakech 40000 Morocco"
Palais Namaskar,779 reviews,3210,00 212 5243-87457,"Route de Bab Atlas, No 88/69 Province Syba, Marrakech 40000 Morocco"
Riad The Milestone,4 reviews,6580,00 212 5243-4563,"5 Rue Sidi Ahmed Ou Moussa, Marrakech 40000 Morocco"
Sol Oasis Marrakech,"1,061 reviews",4600,00 1 888-575-2385,"Douar Ben Rahmoun Prefecture Sidi Youssef Ben Ali, Marrakech 40000 Morocco"
Movenpick Hotel Mansour Eddahbi Marrakech,"3,337 reviews",4500,00 212 5243-00230,"Avenue Mohammed VI Hivernage, Marrakech 40020 Morocco"
La Maison Arabe,"3,253 reviews",5000,00 212 5243-87010,"1 Derb Assehbe Bab Doukkala, Marrakech 40000 Morocco"
Iberostar Club Palmeraie Marrakech,"3,178 reviews",3200,00 34 971 99 80 61,"6 Commune Rurale Ouidane Amerchich, Marrakech 03759 Morocco"
Riad Houdou,"1,510 reviews",1450,00 212 608-864072,"54 Derb el Hammam, el Moukef Essebtyine, Moukef, Marrakech 40000 Morocco"
Riad Noir d'Ivoire,"1,541 reviews",2000,00 44 7778 888883,"31-33 Derb Jdid Bab Doukkala, Marrakech 40000 Morocco"
Riad Dar Anika,"2,018 reviews",6233,00 212 5243-91751,"112 Rue Riad Zitoun el Kdim, Marrakech Morocco"
Aqua Fun Club Marrakech,"4,750 reviews",30052,00 212 5243-88993,"Km 18 - Route de l'Ourika, Marrakech 40000 Morocco"
Kenzi Club Agdal Medina,"8,164 reviews",13000,00 212 5244-59800,"Blvd Mohamed VI Zone de l'Agdal, Marrakech 40020 Morocco"
Kenzi Rose Garden,468 reviews,8644,00 212 5689-87010,"Avenue du President Kennedy, Marrakech 40000 Morocco"
Valeria Dar Atlas Resort,"3,677 reviews",78900,00 212 5243-87789,"Km 12, Route de Fès Bab Atlas - Palmeraie, Marrakech 40000 Morocco"
Riad Les Trois Mages,860 reviews,4560,00 212 5243-89297,"11 Riad Larousse, Derb Jamaâ, Marrakech Morocco"
Andalla Riad & Spa,869 reviews,36857,00 212 5243-89162,"2 Derb El Boumba rue Arset Laghzail, Marrakech 40000 Morocco"
Sofitel Marrakech Lounge & Spa Hotel,"4,921 reviews",6389,00 212 5243-83569,"Rue Harroun Errachid Quartier de l'Hivernage, Marrakech 40000 Morocco"
Be Live Collection Marrakech Adults Only,"3,204 reviews",7458,00 212 5243-87789,"Lot B6, Zone de Zahrat Annakhil, Marrakech Morocco"
La Mamounia Marrakech,"3,346 reviews",3200,00 212 5243-87032,"Avenue Bab Jdid, Marrakech 40040 Morocco"
Aqua Mirage Marrakech Hotel Club,"6,266 reviews",4200,00 212 5243-87879,"Km 5, Route de Tahanaout, Marrakech 40065 Morocco"
Riad The Milestone,4 reviews,3600,00 212 5243-87032,"5 Rue Sidi Ahmed Ou Moussa, Marrakech 40000 Morocco"
"Riad Camilia, the Riad and More",601 reviews,8700,00 212 5243-87895,"Derb El Ouali 9, Kaat Benahid Medina, Marrakech 40000 Morocco"
"Eden Andalou Suites, Aquapark & Spa",773 reviews,23600,00 212 5244-59400,"Km 4, Route d'Amizmiz, Marrakech 40000 Morocco"
Marrakech Ryads Parc & Spa,547 reviews,7400,00 212 5243-87897,"Douar Ouled Benrrahmoun Ouahat Sidi Brahim, Marrakech 40000 Morocco"
Les Jardins de la Koutoubia,"2,224 reviews",3511,00 212 5243-87012,"26 rue de la Koutoubia, Marrakech 40000 Morocco"
Riad Noir d'Ivoire,"1,541 reviews",14550,00 44 7778 888883,"31-33 Derb Jdid Bab Doukkala, Marrakech 40000 Morocco"
Riad Karmela,"1,850 reviews",46200,00 212 5243-87937,"10 Derb El Feranne Azbetz Place Ben Salah, Marrakech 40008 Morocco"
TUI BLUE Riu Tikida Garden,"4,063 reviews",7412,00 1 833-705-0814,"Circuit de la Palmeraie - BP 1585, Marrakech 40007 Morocco"
Savoy Le Grand Hotel,"2,856 reviews",5632,00 212 5243-87324,"Avenue Prince My Rachid, Marrakech 40000 Morocco"
Pestana CR7 Marrakech,75 reviews,7410,00 212 5243-87035,"Av. de la Ménara, Marrakech 40000 Morocco"
Kenzi Menara Palace,"3,229 reviews",4580,00 212 5244-59900,"Avenue Mohammed VI Zone de l’Agdal, Marrakech 40020 Morocco"
Riad Les Trois Mages,860 reviews,4782,00 212 5243-89297,"11 Riad Larousse, Derb Jamaâ, Marrakech Morocco"
Villa Makassar,995 reviews,6530,00 212 5243-91926,"20 Derb Chtouka Kasbah, Marrakech 40000 Morocco"
Hotel Du Golf Rotana,"1,477 reviews",4120,00 212 5243-87789,"Circuit de la Palmeraie, BP 1488, Marrakech 40000 Morocco"
Labranda Rose Aqua Parc,"1,585 reviews",4785,00 212 5243-39000,"Boulevard Mohamed VI, Marrakech 40020 Morocco"
Hotel Riu Tikida Palmeraie,"7,701 reviews",6322,00 1 888-487-4864,"Route Fes, Km 6, Marrakech 40070 Morocco"
Labranda Targa Club Aqua Parc,"1,898 reviews",1240,00 212 5244-99950,"Douar Bouchareb, Marrakech 40000 Morocco"
