Name,Rating,Price,Website,Address
Le Bistro Arabe,4.5,123,http://www.riad-monceau.com/le-bistro-arabe/,"7/8 Derb Chaabane Riad Zitoune Lakdim, Marrakech 40000 Morocco"
Snack Adam,5,158,/UpdateListing-d16876502,"197 Hotel De France , Riad Zitoune Lakdim Marrakech Medina, Marrakech 40000 Morocco"
Bigua Cafe & Restaurant,4.5,258,http://www.biguacafe.com,"No 74, Rue Sidi Ishaq Azbezt, Marrakech 40000 Morocco"
La Table du Palais,4.5,456,http://www.palaislamrani.com,"63, Rue Sidi El Yamani Quartier Mouassine, Medina, Marrakech 40000 Morocco"
Henna cafe,4.5,456,http://www.hennacafemarrakech.com/,"93 Arset Aouzal Road, Dar EL Basha Near Dar El Basha and the Taxis at Pashas Palace. On the way to Bab Doukalla, Marrakech 40000 Morocco"
Le Blokk,4.5,321,https://leblokkmarrakech.com/,"Route des Jardins de la Palmeraie Circuit De La Palmeraie, Propriété Farah, Marrakech 40000 Morocco"
Marrakech Henna Art Cafe,4.5,213,http://marrakechhennaartcafe.com,"35 Derb Sqaya Riad Zeitoun Lakdim, Marrakech 40000 Morocco"
Al Fassia Aguedal,4.5,400,http://www.alfassia.com,"9bis route de l'Ourika, Marrakech 40000 Morocco"
Shtatto Marrakech,4.5,321,http://www.facebook.com/Shtatto-Marrakech-371301526667007/,"81 Derb Nkhal, Rahba Lakdima, Marrakech 40000 Morocco"
Le Mart,5,425,/UpdateListing-d23982207,"Leather Market, 35, Kimakhine, Marrakech 40000 Morocco"
Koulchi Zine,4.5,212,http://www.koulchizine.com,"164 Riad Zitoune Lakdim Medina, Marrakech 40040 Morocco"
VITA NOVA,4.5,321,http://www.vita-nova.ma,"36 Rue Ibn Aicha, Marrakech 40000 Morocco"
La Terrasse de La Brillante - Rooftop,5,966,http://www.laterrassedelabrillante.com/,"Rue Bahia 6, Riad Zitoun Jdid La Brillante Marrakech, Marrakech 40000 Morocco"
Plus 61,4.5,247,http://plus61.com,"96 Rue Mohammed El Beqal, Marrakech 40000 Morocco"
Le Comptoir Du Pacha,4.5,325,http://www.facebook.com/lecomptoirdupacha/,"218 Arset Aouzal Bab Doukkala, Marrakech 40030 Morocco"
Color Safra-SOUS RESERVATION,4.5,124,http://colorsafra.com,"Rue Ben Salah 3 Interseccion Rue Derb Ben Allal, Marrakech 40000 Morocco"
L'Orangerie & Lawrence Bar - Sofitel Marrakech,4.5,369,http://www.sofitel.com/gb/hotel-3569-sofitel-marrakech-lounge-and-spa/restaurant.shtml,"Rue Harroun Errachid Sofitel Hotel, Marrakech 40000 Morocco"
Table de la Medina,4.5,258,http://www.tabledelamedina.com,"1 Derb Maaden Sidi Abdelaziz Route sidi abdelaziz 100m de jardin secret, Marrakech 40030 Morocco"
16 Cafe,4.5,123,http://www.16cafe.com/,"Place du 16 Novembre Marrakech Plaza, Marrakech 40000 Morocco"
Zwin Zwin Café,4.5,147,http://www.zwinzwincafe.com,"10 Rue El Moustachfa, Riad Mokha derriére l hotel Tazi, Medina, Marrakech 40000 Morocco"
Pause Gourmande,4.5,236,http://www.pausegourmande.ma/,"1 Rue Yves Saint Laurent Majorelle, Marrakech 40000 Morocco"
Dar Najat's Kitchen,4.5,147,http://www.riaddarnajat.com/presentation/darnajat-s-kitchen-le-meilleur-de-la-gastronomie-marocaine-.html,"Dar Najat, Douar Graoua, Derb Lalla Chacha, N.18, Marrakech 40000 Morocco"
Dabachi Chez Cherif,4.5,110,/UpdateListing-d12991374,"Derb Dabachi Medina, Marrakech 40000 Morocco"
Palais Dar Soukkar,4.5,59,http://www.darsoukkar.com,"3,8 KM, Route de l'Ourika Restaurant Lounge Marrakech, Marrakech 40000 Morocco"
Les Jardins de la Medina,4.5,470,http://www.lesjardinsdelamedina.com/gastronomie.php#restaurant,"21 Derb Chtouka Quartier de la Kasbah, Marrakech 40000 Morocco"
MY Kechmara,4.5,125,http://www.kechmara.com,"3 Rue de la Liberte Gueliz, Marrakech 40000 Morocco"
Le Tanjia,4.5,124,http://www.tanjiaoriental.com,"Place des Ferblantiers Mellah, MÃ©dina, Marrakech 40000 Morocco"
Fish house Al Aachabe,5,123,http://fish-house-al-aachabe.business.site/,"Av. Yacoub El Mansour Angle Allal El Fassi, Marrakech 40000 Morocco"
Mandala Society Marrakech,5,222,http://www.mandalasociety.co/marrakech,"159, Rue Riad Zaytun Jdid, Marrakech 40000 Morocco"
Las Terrazas De Andalucia,4.5,147,http://www.lasterrazas.ma,"Hotel El Andalous, Avenue du President Kennedy Hivernage, Marrakech 40020 Morocco"
El Kennaria Restaurant,4.5,598,http://www.facebook.com/terrasse.elkennaria/,"10 Rue El Kennaria Derb Dabachi, Marrakech 40000 Morocco"
Amal,4.5,212,http://amalnonprofit.org,"Rue Allal Ben Ahmed et Rue Ibn Sina Gueliz, Marrakech 40000 Morocco"
Azar,4.5,654,http://www.azarmarrakech.com,"Rue de Yougoslavie, Marrakech Morocco"
Terrasse de la fontaine,4.5,123,http://terrassedelafontaine.com/,"118 Rue mouassine, Marrakech 40000 Morocco"
Chez Yassine,4.5,456,http://www.facebook.com/chez-yassine-189689887735208,"Rue Fatima Zahra Rmila Acote de Hammam El Bacha Rue Fatima Zohra Rmila Acote Du Hamame El Bacha, Marrakech 40000 Morocco"
Chez Mado,4.5,123,http://www.restaurantchezmado.com,"Rue Moulay Ali Gueliz, Marrakech 40000 Morocco"
Exotic Bali,4.5,365,http://www.exotic-bali.com,"2 rue Badr Angle Mohamed V, Marrakech 40010 Morocco"
Comptoir Darna Marrakech,4.5,123,http://www.comptoirmarrakech.com/,"Avenue Echouhada Hivernage, Marrakech 40000 Morocco"
Le Makassar,4.5,120,http://www.villamakassar.com/,"20, Derb Chtouka Kasbah, Villa Makassar, Marrakech 40000 Morocco"
La Table de La Kasbah,4.5,147,http://www.facebook.com/latabledelakasbah,"Derb Hajra, Bab Agnaou, Kasbah, Marrakech 40000 Morocco"
BlackChich Cafe Restaurant,4.5,159,http://www.blackchichcafe.com,"1 Derb Nakouss Riad Zitoune El Jedid, Marrakech 40000 Morocco"
Le 68 Bar A Vin,4.5,782,http://restaurant-marrakech-baravin.business.site/,"68, Rue de la Liberte Derriere Carre Eden Gueliz - Voiturier Sur Place, Marrakech 40000 Morocco"
Medina Burger,5,111,/UpdateListing-d25126726,"Medina Mall 1er étage, Marrakech 40000 Morocco"
Jemaa ElFna Restaurant,4.5,231,http://www.riad-jemaa-elfna.com,"Boulevard des banques rue Zaari N 42 Kennaria, Marrakech 40000 Morocco"
Ma Maison,4.5,147,http://www.mamaisonmarrakech.com,"64 Arset Aouzal Bab Doukkala Medina Dar El Bacha, Marrakech 40000 Morocco"
Le Medina Privilege Riad & Spa Restaurant,4.5,123,https://www.facebook.com/LeMedinaPrivilege/?ref=br_rs,"Rue La Kasbah N51 Sahrij, Gnaoua Medina, Marrakech 40000 Morocco"
Zeitoun Cafe Kasbah,4.5,650,http://www.zeitouncafe.com,"417 Bab Agnaou Face aux tombeaux Saadiens, Marrakech 40000 Morocco"
Entrepotes,4.5,124,http://www.facebook.com/EntrepotesMarrakech/?ref=ts&fref=ts,"62, Rue Tarik Ibn Zyad, Marrakech 40000 Morocco"
Le Trou au Mur,4.5,368,http://www.letrouaumur.com,"39 Derb El Farnatchi Marrakech Medina, Marrakech Morocco"
L'Mida Marrakech,4.5,147,http://lmidamarrakech.com,"78 bis Derb Nkhel, Rahba Kdima, Médina, Marrakech 40030 Morocco"
Restaurant Red House,4.5,236,http://theredhousemarrakech.com/restaurant-red-house/index.html,"Avenue el yarmouk and rue Abdelaziz Elmalzouzi, Marrakech 44000 Morocco"
Narwama,4,205,http://palaisnarwama.com/,"Hay Zefriti 30 Rue Koutoubia 30, Marrakech 40000 Morocco"
Eme et Saveurs,4.5,145,https://www.facebook.com/ameetsaveurs/,"38, Prince Moulay Rachid -Médina, Marrakech 40000 Morocco"
Dar Cherifa,4.5,198,http://marrakech-riads.com/restaurant-dar-cherifa/,"8 derb Cherfa Lakbir, Moussine Medina, Marrakech 40000 Morocco"
Restaurant Le LOFT,4.5,325,http://www.restaurant-loft.com/,"18 Rue de la Liberté Gueliz, Marrakech 40000 Morocco"
La Pergola,4.5,189,http://www.riad-monceau.com/la-pergola/,"7/8 Derb Chaabane - Riad Zitoun Lkd, Marrakech 40000 Morocco"
Roti D'or,4.5,387,https://www.facebook.com/Roti-Dor-283691641839295,"Taoualat Ben Saleh 64 Old city center, Marrakech 40000 Morocco"
Limoni Cafe and Restaurant,4.5,147,https://www.facebook.com/hamidzoubaire/,"40, Dyour Saboun Bab Taghzout, Marrakech 40000 Morocco"
Chez Brahim,4.5,200,http://www.chezbrahimrestaurant.com,"38 Derb Dabachi Jamaà El Fna, Marrakech 40000 Morocco"
Libzar,4.5,140,/UpdateListing-d1963478,"28, Rue Moulay Ali Gueliz, Marrakech 40000 Morocco"
M Rooftop by Medina Heritage,4.5,620,http://www.facebook.com/MRooftopByMedinaHeritage/,"58, Quartier Lakssour Fhel Zefriti, Marrakech 40030 Morocco"
Gastro MK at Maison MK,4.5,140,http://maisonmk.com,"14 Derb Lafkih Sbaai Quartier Luksour, Marrakech 40000 Morocco"
Le Petit Cornichon,4.5,321,http://www.petitcornichon.com,"27, Rue Moulay Ali, Marrakech 40000 Morocco"
Kafe Merstan,4.5,148,http://kafemerstan.ma/,"2 Rue Souk Chaaria Kast Benahid, Marrakech 40000 Morocco"
So Lounge Marrakech,4.5,236,http://www.so-nightlounge.com,"Rue Haroun Errachid, Quartier Hivernage Sofitel Marrakech Lounge & Spa, Marrakech 40000 Morocco"
Cafe Chez ZaZa,4.5,124,https://www.facebook.com/caferestaurantchezzazamarrakech/,"21 Place Bab Fteuh, Marrakech 40000 Morocco"
Pepe Nero,4.5,698,http://www.pepenero-marrakech.com,"Derb Cherkaoui , 17 Doaur Graoua, Marrakech 40000 Morocco"
Restaurant DarDar RoofTop,4.5,147,http://www.rooftopdardar.com/en,"4 Rue Riad Zitoun el Kdim, Marrakech 40000 Morocco"
Dar Anika Kitchen,4.5,125,http://riadanika.com,"Riad Zitoun Kedim No 112, Marrakech 40000 Morocco"
Kui-Zin Médina,4.5,123,http://web.facebook.com/kuizinmedina,"12, Rue Amsefah, Sidi Abdelaziz .Medina 12, Rue Amsefah, Sidi Abdelaziz . Medina, Marrakech 40000 Morocco"
Kech Burger,4.5,879,http://www.facebook.com/kechburger,"39 Rue Mohamed El Bakkal Gueliz, Marrakech 40000 Morocco"
Un Déjeuner A  Marrakech,4.5,145,http://www.undejeuneramarrakech.com/,"2-4 Angle Douar Graoua-Kennaria, Marrakech 40000 Morocco"
La Cuisine de Mona,4.5,873,https://www.facebook.com/LaCuisineDeMonaGueliz/,"Residence Mamoune 5 n 115B Quartier El Ghoul, Cite Olm, Marrakech 40000 Morocco"
Bagatelle,4.5,784,http://www.bagatelle-marrakech.com/,"103, Rue de Yougoslavie GuÃ©liz, Marrakech 40000 Morocco"
Ksar Es Saoussan,4.5,511,http://www.essaoussane.com,"Rue des Ksour 3 Derb El Messaoudyenne 3derb El messaouienne ksour, Marrakech 40000 Morocco"
Riad Kniza Restaurant,4.5,128,http://www.riadkniza.com,"34 Derb L'Hotel Bab Doukala Medina, Marrakech 40000 Morocco"
La Villa Des Orangers - Restaurant,4.5,230,http://www.villadesorangers.com/index.php/le-restaurant,"6 rue Sidi Mimoun, Marrakech 40000 Morocco"
Fine Mama?,4.5,140,https://www.facebook.com/restaurantfinemama/,"89 Passage Prince Moulay Rachid, Marrakech 40000 Morocco"
Cafe Guerrab,4.5,150,http://www.facebook.com/cafeguerrab,"40 Souk Ablouh Jamaa Fna, Marrakech 40000 Morocco"
Fox Art Food,4.5,321,http://Www.foxartfood.com,"Rue Riad Zitoun el Kdim, Marrakech 40000 Morocco"
Zeitoun Café Jemaa El Fnaa,4.5,140,http://www.zeitouncafe.com,"107 Place Jemaa El Fnaa, Marrakech 40000 Morocco"
Snack Grand Atlas,4.5,325,http://www.facebook.com/Restaurant-Grand-Atlas-2036632713330327/,"Rue Ibnou Marine A 100 M de la Place Jemmaa El Fna, Marrakech Morocco"
Beats Burger,4.5,426,http://www.beatsburger.com/,"35 Souk Jeld Kimakine 35 Souk Jeld Kimakhine, Marrakech 40000 Morocco"
Café - Restaurant Bab Ftouh,4.5,325,http://www.facebook.com/Caf%C3%A9-terrasse-bab-ftouhe-202700263519897,"64 place Ftouh Marrakech GSM Pra, Marrakech 40000 Morocco"
Knock Knock restaurant,4.5,147,https://www.facebook.com/knocknockrestaurant/,"Derb Ftheu Ftouh Medina, Marrakech 40000 Morocco"
Dar tazi,4.5,98,http://restaurantdartazi.com/,"Kaat Bennahid Souk Ahel, N 44, Marrakech 40000 Morocco"
Katsura,4.5,65,http://www.katsura.ma,"Rue Oum Errabia, Marrakech Morocco"
Restaurant Naima,4.5,320,https://www.facebook.com/Restaurant-Na%C3%AFma-Marrakech-150806984966105/,"Rue Azbest No. 30, Marrakech 40000 Morocco"
